Player,Team,Age,GamesPlayed,Wins,Losses,Min,Points,FGM,FGA,FG_Percent,3PM,3PA,3P_Percent,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,PlusMinus
AJ Johnson,WAS,20,20,6,14,317.7,113,43,105,41.0,13,44,29.5,14,17,82.4,6,34,40,47,17,8,1,17,242,0,0,-17
Dominick Barlow,ATL,21,27,9,18,279.6,113,46,90,51.1,6,21,28.6,15,22,68.2,25,38,63,12,3,7,14,30,267,1,0,-41
Jevon Carter,CHI,29,31,10,21,231.3,113,40,98,40.8,25,70,35.7,8,10,80.0,2,27,29,31,9,9,3,11,221,0,0,22
Gary Harris,ORL,30,40,22,18,614.2,112,39,109,35.8,27,85,31.8,7,12,58.3,17,38,55,25,12,24,11,38,309,0,0,41
Anthony Gill,WAS,32,47,6,41,316.4,109,36,67,53.7,8,23,34.8,29,44,65.9,10,37,47,14,10,8,2,26,206,0,0,-30
Dwight Powell,DAL,33,49,23,26,503.1,108,40,55,72.7,1,2,50.0,27,41,65.9,46,66,112,54,18,16,21,71,416,0,0,-11
Marvin Bagley III,MEM,26,26,5,21,215.5,107,43,84,51.2,3,15,20.0,18,27,66.7,32,35,67,7,11,7,7,14,229,0,0,-11
Cam Reddish,LAL,25,33,15,18,589.5,105,38,94,40.4,13,47,27.7,16,26,61.5,17,49,66,22,12,33,10,43,334,0,0,-91
Dillon Jones,OKC,23,45,38,7,422.1,105,39,110,35.5,13,57,22.8,14,24,58.3,23,66,89,46,17,10,3,41,303,0,0,45
Bismack Biyombo,SAS,32,20,7,13,356.5,103,47,72,65.3,0,0,0.0,9,19,47.4,31,73,104,26,17,13,15,36,334,3,0,-61
Maxi Kleber,LAL,33,34,18,16,636.9,103,37,96,38.5,13,49,26.5,16,21,76.2,25,70,95,43,23,9,17,66,337,0,0,-17
Patty Mills,LAC,36,27,10,17,305.4,103,33,90,36.7,24,71,33.8,13,14,92.9,3,18,21,25,17,13,3,21,197,0,0,-3
John Konchar,MEM,29,41,24,17,510.8,102,37,86,43.0,21,59,35.6,7,8,87.5,33,104,137,38,15,21,14,32,413,0,0,37
Torrey Craig,BOS,34,21,13,8,219.4,101,35,73,47.9,23,55,41.8,8,12,66.7,20,27,47,9,2,4,6,27,199,0,0,-41
Jericho Sims,MIL,26,53,34,19,631.2,98,45,71,63.4,0,0,0.0,8,13,61.5,71,126,197,33,33,10,19,65,438,0,0,25
Josh Minott,MIN,22,41,27,14,256.4,97,37,81,45.7,10,37,27.0,13,15,86.7,10,32,42,16,11,15,12,32,241,0,0,-35
Jamal Cain,NOP,26,29,5,24,323.8,93,31,80,38.8,14,45,31.1,17,26,65.4,20,36,56,16,12,13,8,29,235,0,0,-72
Damion Baugh,CHA,24,11,1,10,286.7,91,35,100,35.0,10,44,22.7,11,13,84.6,8,26,34,43,21,14,1,18,220,0,0,-141
Rayan Rupert,POR,20,44,19,25,313.6,89,32,82,39.0,10,37,27.0,15,20,75.0,21,25,46,18,21,8,2,24,180,0,0,-84
Trey Jemison III,LAL,25,33,14,19,354.5,88,38,70,54.3,0,0,0.0,12,31,38.7,38,54,92,14,18,8,14,64,267,0,0,-11
Dru Smith,MIA,27,14,8,6,268.2,87,31,61,50.8,16,30,53.3,9,12,75.0,12,24,36,23,17,21,6,30,229,0,0,38
Taj Gibson,CHA,39,29,9,20,319.6,86,37,74,50.0,1,2,50.0,11,16,68.8,43,57,100,16,20,8,12,44,270,1,0,-92
Lonnie Walker IV,PHI,26,11,2,9,203.3,85,29,82,35.4,17,51,33.3,10,12,83.3,4,29,33,20,12,6,3,7,170,1,0,-89
Christian Koloko,LAL,24,34,22,12,318.0,84,38,62,61.3,0,3,0.0,8,10,80.0,32,50,82,16,12,7,11,41,248,0,0,-11
Colby Jones,WAS,22,32,11,21,285.5,84,31,64,48.4,12,26,46.2,10,16,62.5,14,32,46,22,13,15,11,21,237,0,0,-46
Delon Wright,NYK,32,34,18,16,471.1,84,29,95,30.5,15,56,26.8,11,20,55.0,18,34,52,58,18,25,10,18,320,0,0,-5
Colin Castleton,TOR,24,20,14,6,304.9,83,29,67,43.3,2,12,16.7,23,28,82.1,36,47,83,18,22,7,9,32,236,0,0,-20
Pat Spencer,GSW,28,34,20,14,221.6,83,35,91,38.5,2,17,11.8,11,15,73.3,15,29,44,38,15,12,3,18,223,0,0,-19
Johnny Davis,WAS,23,34,4,30,241.7,80,32,78,41.0,7,29,24.1,9,15,60.0,10,28,38,11,7,15,6,18,198,0,0,-26
Branden Carlson,OKC,25,24,22,2,154.8,78,27,57,47.4,19,45,42.2,5,7,71.4,9,27,36,9,4,4,11,15,176,0,0,24
Cam Spencer,MEM,24,20,11,9,199.5,78,24,57,42.1,13,35,37.1,17,17,100.0,9,18,27,25,5,6,1,18,164,0,0,21
Moses Brown,DAL,25,13,5,8,118.6,76,34,49,69.4,0,0,0.0,8,11,72.7,12,32,44,2,11,6,4,17,151,1,0,-14
Jordan McLaughlin,SAS,28,38,15,23,231.2,73,22,53,41.5,13,31,41.9,16,21,76.2,4,20,24,36,12,13,0,14,183,0,0,36
Jaden Springer,UTA,22,36,21,15,229.7,72,21,53,39.6,9,28,32.1,21,31,67.7,7,28,35,23,10,17,3,29,199,0,0,-10
Jordan Walsh,BOS,21,46,35,11,356.7,72,26,70,37.1,13,46,28.3,7,12,58.3,20,37,57,16,12,10,10,27,212,0,0,46
Jared Rhoden,TOR,25,10,6,4,158.5,71,24,60,40.0,8,28,28.6,15,18,83.3,11,19,30,8,7,7,2,13,139,1,0,32
MarJon Beauchamp,NYK,24,33,18,15,149.2,71,25,62,40.3,10,28,35.7,11,16,68.8,10,29,39,10,15,4,1,14,133,0,0,13
Alex Len,LAL,31,45,21,24,366.2,70,30,59,50.8,2,8,25.0,8,17,47.1,38,55,93,37,17,9,20,50,307,0,0,-138
Johnny Furphy,IND,20,43,26,17,282.0,69,24,64,37.5,12,37,32.4,9,9,100.0,18,32,50,10,9,14,8,31,201,0,0,-10
Kobe Brown,LAC,25,35,20,15,236.9,69,30,64,46.9,4,22,18.2,5,7,71.4,18,38,56,20,9,6,3,22,184,0,0,-48
Baylor Scheierman,BOS,24,23,21,2,237.9,68,23,63,36.5,17,49,34.7,5,6,83.3,10,30,40,22,4,10,2,14,181,0,0,11
Tyler Kolek,NYK,24,37,24,13,232.6,68,24,66,36.4,12,36,33.3,8,11,72.7,4,14,18,53,10,10,2,19,195,0,0,-9
Jaylen Nowell,NOP,25,8,1,7,168.1,67,26,73,35.6,8,27,29.6,7,11,63.6,6,14,20,18,8,1,4,9,125,0,0,-42
Maxwell Lewis,BKN,22,21,6,15,193.5,67,26,57,45.6,12,23,52.2,3,6,50.0,11,18,29,11,7,7,3,14,141,0,0,-9
Reece Beekman,BKN,23,31,12,19,340.0,66,24,78,30.8,6,32,18.8,12,17,70.6,8,18,26,39,17,20,2,24,205,0,0,-65
Damion Lee,PHX,32,19,5,14,114.6,63,20,58,34.5,7,29,24.1,16,17,94.1,2,13,15,9,8,4,0,5,99,0,0,29
Elfrid Payton,NOP,31,16,2,14,327.1,63,31,85,36.5,0,1,0.0,1,3,33.3,9,39,48,93,36,17,8,26,299,1,0,-73
De'Anthony Melton,BKN,26,6,4,2,121.0,62,22,54,40.7,13,35,37.1,5,8,62.5,6,14,20,17,10,7,2,18,129,1,0,27
Tristan Thompson,CLE,34,38,31,7,265.5,59,27,59,45.8,0,3,0.0,5,22,22.7,26,76,102,23,11,1,9,31,235,0,0,-55
Bruno Fernando,TOR,26,17,2,15,146.6,58,26,49,53.1,0,0,0.0,6,8,75.0,21,30,51,18,14,4,9,27,171,0,0,-22
Jalen Hood-Schifino,PHI,21,8,3,5,154.7,58,19,51,37.3,9,28,32.1,11,14,78.6,2,10,12,15,7,3,6,13,115,0,0,-51
Alex Reese,PHI,25,11,3,8,161.5,57,20,40,50.0,11,29,37.9,6,8,75.0,7,26,33,3,5,8,8,17,144,0,0,36
Mitchell Robinson,NYK,26,12,7,5,194.2,57,25,37,67.6,0,0,0.0,7,11,63.6,34,33,67,7,6,11,10,18,205,1,0,0
Oscar Tshiebwe,UTA,25,10,2,8,162.0,56,20,35,57.1,0,0,0.0,16,20,80.0,25,50,75,6,5,7,0,17,171,1,0,-4
Killian Hayes,BKN,23,6,1,5,162.3,54,18,43,41.9,8,21,38.1,10,12,83.3,5,13,18,31,9,4,4,13,137,0,0,-24
Dariq Whitehead,BKN,20,12,3,9,93.6,53,18,42,42.9,16,36,44.4,1,3,33.3,1,8,9,2,7,4,1,5,75,0,0,-27
Kobe Bufkin,ATL,21,10,6,4,123.6,53,18,47,38.3,4,19,21.1,13,18,72.2,5,16,21,17,8,3,2,9,111,0,0,-23
Bronny James,LAL,20,23,14,9,134.7,52,17,52,32.7,7,28,25.0,11,14,78.6,3,10,13,14,10,5,3,11,103,0,0,-58
Dario ari,DEN,30,15,7,8,202.9,52,19,56,33.9,7,26,26.9,7,10,70.0,14,35,49,22,14,7,1,18,154,1,0,-43
Oshae Brissett,PHI,26,6,1,5,142.2,52,19,39,48.7,6,18,33.3,8,14,57.1,7,15,22,4,8,4,3,14,97,0,0,-31
JT Thor,WAS,22,14,9,5,124.0,50,18,37,48.6,4,15,26.7,10,14,71.4,11,10,21,5,6,5,6,11,110,0,0,-48
Ariel Hukporti,NYK,22,25,17,8,217.4,48,21,31,67.7,0,0,0.0,6,13,46.2,14,37,51,11,21,1,15,32,153,0,0,-63
Chuma Okeke,PHI,26,7,1,6,171.4,48,18,33,54.5,10,22,45.5,2,3,66.7,20,23,43,13,3,5,3,5,140,1,0,-34
Matisse Thybulle,POR,28,7,4,3,109.0,48,18,35,51.4,10,22,45.5,2,4,50.0,5,18,23,10,3,15,3,3,142,0,0,13
Markelle Fultz,SAC,26,16,7,9,134.1,47,21,48,43.8,4,7,57.1,1,1,100.0,3,9,12,16,13,6,1,11,93,0,0,9
Patrick Baldwin Jr.,LAC,22,22,1,21,100.6,47,17,33,51.5,11,21,52.4,2,4,50.0,5,17,22,2,5,3,2,5,86,0,0,34
Tyler Smith,MIL,20,20,10,10,88.4,47,18,39,46.2,9,22,40.9,2,4,50.0,4,16,20,4,6,2,3,9,86,0,0,13
Jaylen Martin,WAS,21,12,3,9,138.9,46,19,44,43.2,5,12,41.7,3,3,100.0,7,21,28,9,8,2,0,4,91,0,0,-84
Markieff Morris,LAL,35,14,7,7,131.6,45,16,60,26.7,8,33,24.2,5,6,83.3,3,16,19,15,3,1,2,12,96,0,0,-11
Adam Flagler,OKC,25,31,28,3,138.8,44,17,72,23.6,10,55,18.2,0,0,0.0,6,11,17,8,3,7,3,12,103,0,0,-8
Drew Peterson,BOS,25,20,14,6,152.0,41,13,29,44.8,9,23,39.1,6,7,85.7,5,25,30,13,6,5,2,13,112,0,0,60
Lamar Stevens,MEM,27,10,4,6,99.7,40,14,34,41.2,5,15,33.3,7,9,77.8,3,26,29,5,6,4,3,10,97,0,0,46
Nate Williams,HOU,26,14,11,3,85.5,39,16,38,42.1,4,17,23.5,3,4,75.0,1,6,7,5,9,5,4,10,73,0,0,-6
Chris Duarte,CHI,27,17,4,13,74.5,36,12,26,46.2,6,15,40.0,6,8,75.0,5,15,20,9,1,0,0,7,73,0,0,12
Isaiah Jackson,IND,23,5,1,4,83.9,35,14,23,60.9,0,0,0.0,7,14,50.0,11,17,28,5,5,3,8,14,104,0,0,10
Enrique Freeman,IND,24,20,6,14,139.5,34,12,25,48.0,1,6,16.7,9,15,60.0,6,13,19,8,5,2,2,18,76,0,0,-53
Keion Brooks Jr.,NOP,24,6,1,5,95.5,34,13,25,52.0,5,10,50.0,3,6,50.0,1,13,14,5,4,1,3,10,66,0,0,-54
PJ Hall,DEN,23,19,12,7,66.2,33,14,24,58.3,2,8,25.0,3,4,75.0,6,16,22,4,2,0,4,11,75,0,0,-2
Elijah Harkless,UTA,25,10,1,9,138.0,32,11,35,31.4,7,25,28.0,3,6,50.0,9,12,21,8,3,10,1,18,99,0,0,31
Garrett Temple,TOR,38,25,10,15,182.5,32,9,42,21.4,5,20,25.0,9,10,90.0,5,19,24,26,10,14,2,23,138,0,0,-18
Josh Richardson,MIA,31,8,4,4,149.5,32,11,38,28.9,6,22,27.3,4,4,100.0,6,6,12,12,8,8,1,17,83,0,0,-31
TyTy Washington Jr.,PHX,23,13,3,10,102.9,31,12,39,30.8,4,20,20.0,3,4,75.0,4,8,12,15,3,3,0,4,74,0,0,-7
Xavier Tillman,BOS,26,29,23,6,206.9,30,12,46,26.1,5,27,18.5,1,2,50.0,9,29,38,7,12,9,5,16,116,0,0,-5
Alex Ducas,OKC,24,19,18,1,96.2,29,10,25,40.0,9,18,50.0,0,0,0.0,6,13,19,3,4,5,0,7,67,0,0,-33
Tony Bradley,IND,27,8,7,1,44.6,29,14,18,77.8,1,3,33.3,0,2,0.0,7,8,15,3,4,1,3,4,60,0,0,7
Kevin Knox II,GSW,25,9,7,2,55.9,28,11,24,45.8,3,11,27.3,3,4,75.0,6,6,12,4,1,1,4,5,62,0,0,-8
Marcus Garrett,CHA,26,4,1,3,79.4,28,11,27,40.7,3,8,37.5,3,4,75.0,1,5,6,13,6,3,2,10,64,0,0,-39
Matt Ryan,NYK,27,19,14,5,67.8,28,10,31,32.3,6,19,31.6,2,2,100.0,0,8,8,3,3,2,0,1,45,0,0,-40
Pacome Dadiet,NYK,19,16,12,4,99.5,26,9,28,32.1,6,18,33.3,2,3,66.7,0,14,14,5,3,3,2,6,62,0,0,-13
Daeqwon Plowden,ATL,26,2,1,1,32.7,24,8,10,80.0,6,8,75.0,2,2,100.0,3,2,5,0,1,0,0,5,29,0,0,12
Jazian Gortman,DAL,22,16,8,8,56.6,24,9,23,39.1,4,11,36.4,2,4,50.0,1,4,5,6,5,2,1,9,43,0,0,11
Kylor Kelley,DAL,27,8,3,5,66.7,24,10,13,76.9,0,0,0.0,4,6,66.7,8,13,21,2,1,0,2,8,57,1,0,-36
Yuki Kawamura,MEM,23,20,16,4,63.1,24,8,22,36.4,4,16,25.0,4,6,66.7,0,7,7,14,4,1,0,7,52,0,0,0
Mason Jones,SAC,26,10,4,6,45.4,23,9,18,50.0,1,8,12.5,4,5,80.0,2,7,9,11,1,0,1,3,52,0,0,1
Trey Alexander,DEN,21,21,13,8,90.0,23,9,29,31.0,2,11,18.2,3,4,75.0,0,9,9,10,3,1,1,9,52,0,0,-9
Sidy Cissoko,POR,20,20,10,10,60.9,22,9,18,50.0,3,7,42.9,1,6,16.7,4,7,11,6,3,1,0,7,44,0,0,-2
Spencer Jones,DEN,23,19,13,6,100.7,22,9,26,34.6,1,13,7.7,3,3,100.0,7,6,13,3,5,5,3,14,61,0,0,-32
Chris Livingston,MIL,21,17,12,5,77.7,21,7,19,36.8,0,6,0.0,7,10,70.0,8,16,24,2,5,5,0,5,63,0,0,-20
JD Davison,BOS,22,12,11,1,51.4,20,6,14,42.9,3,9,33.3,5,7,71.4,1,6,7,5,7,3,0,1,38,0,0,-34
Jae Crowder,SAC,34,7,2,5,91.6,20,6,17,35.3,3,12,25.0,5,6,83.3,6,11,17,4,4,3,0,10,51,0,0,-14
Leonard Miller,MIN,21,10,8,2,27.1,18,5,14,35.7,0,5,0.0,8,8,100.0,3,8,11,0,2,2,1,2,38,0,0,-13
Pete Nance,MIL,25,9,5,4,77.7,17,6,18,33.3,4,14,28.6,1,2,50.0,2,8,10,3,0,1,0,10,37,0,0,-12
Jackson Rowe,GSW,28,5,3,2,42.7,16,6,15,40.0,2,9,22.2,2,4,50.0,0,8,8,3,1,3,0,4,38,0,0,14
Keshad Johnson,MIA,23,10,5,5,57.0,16,7,12,58.3,1,4,25.0,1,6,16.7,2,15,17,3,3,1,4,5,53,0,0,1
Malachi Flynn,CHA,26,4,2,2,43.7,16,5,13,38.5,1,4,25.0,5,6,83.3,3,4,7,7,4,3,0,4,40,0,0,1
Vlatko anar,DEN,27,11,2,9,106.2,16,7,19,36.8,2,9,22.2,0,0,0.0,6,23,29,7,8,1,1,8,59,0,0,-1
E.J. Liddell,CHI,24,7,2,5,32.9,15,5,10,50.0,3,8,37.5,2,2,100.0,1,4,5,3,2,1,1,8,30,0,0,5
Joe Ingles,MIN,37,19,12,7,114.1,15,6,23,26.1,3,15,20.0,0,0,0.0,2,9,11,23,9,2,0,12,60,0,0,2
Armel Traor,LAL,22,9,5,4,66.7,14,6,19,31.6,0,7,0.0,2,7,28.6,2,13,15,1,3,4,2,6,49,0,0,-49
Jack McVeigh,HOU,28,7,5,2,28.4,14,5,13,38.5,4,10,40.0,0,0,0.0,1,3,4,1,1,0,1,1,22,0,0,7
Lester Quinones,NOP,24,5,2,3,27.9,14,6,11,54.5,1,4,25.0,1,1,100.0,3,1,4,1,5,1,0,1,18,0,0,-2
Taylor Hendricks,UTA,21,3,0,3,74.5,14,4,18,22.2,3,12,25.0,3,4,75.0,5,10,15,2,2,5,4,8,60,0,0,-22
Bryce McGowens,POR,22,13,8,5,32.0,13,4,14,28.6,0,4,0.0,5,6,83.3,2,1,3,2,4,1,0,3,19,0,0,-4
Cam Christie,LAC,19,8,5,3,40.8,13,5,15,33.3,2,10,20.0,1,2,50.0,1,6,7,5,2,3,0,2,36,0,0,9
Isaiah Crawford,SAC,23,14,7,7,43.3,13,5,10,50.0,1,5,20.0,2,4,50.0,1,7,8,1,1,1,2,2,32,0,0,22
Cole Swider,TOR,25,4,2,2,51.8,12,5,17,29.4,2,13,15.4,0,1,0.0,0,5,5,1,0,1,1,5,26,0,0,30
Stanley Umude,MIL,25,20,13,7,64.5,12,4,23,17.4,2,13,15.4,2,4,50.0,4,11,15,3,2,3,3,6,51,0,0,-14
Drew Timme,BKN,24,1,0,1,24.9,11,4,6,66.7,1,3,33.3,2,3,66.7,4,6,10,1,3,0,0,1,22,1,0,-13
N'Faly Dante,HOU,23,1,0,1,18.6,10,4,6,66.7,0,0,0.0,2,3,66.7,4,5,9,1,1,0,2,4,27,0,0,2
Nae'Qwan Tomlin,CLE,24,3,3,0,14.5,10,4,8,50.0,0,2,0.0,2,3,66.7,1,5,6,0,1,0,0,2,16,0,0,-2
Liam Robbins,MIL,25,13,8,5,57.0,9,2,8,25.0,0,2,0.0,5,10,50.0,7,5,12,2,6,2,2,9,32,0,0,-5
Trentyn Flowers,LAC,20,2,0,2,15.8,9,4,9,44.4,0,2,0.0,1,1,100.0,1,3,4,0,1,0,0,3,13,0,0,13
Adama Sanogo,CHI,23,4,2,2,21.5,8,4,7,57.1,0,0,0.0,0,0,0.0,5,1,6,1,1,0,0,1,16,0,0,-5
Anton Watson,NYK,24,7,4,3,18.5,8,4,8,50.0,0,0,0.0,0,0,0.0,1,1,2,2,2,0,0,2,11,0,0,-12
James Johnson,IND,38,12,5,7,36.6,8,4,11,36.4,0,3,0.0,0,1,0.0,0,6,6,4,4,0,2,5,23,0,0,-9
Luke Travers,CLE,23,9,8,1,54.6,8,3,11,27.3,0,4,0.0,2,2,100.0,5,7,12,5,5,1,1,4,31,0,0,-4
Tyson Etienne,BKN,25,1,0,1,9.8,8,3,7,42.9,2,5,40.0,0,0,0.0,0,0,0,1,0,0,0,2,10,0,0,0
PJ Dozier,MIN,28,9,7,2,34.9,7,2,3,66.7,2,3,66.7,1,6,16.7,1,4,5,5,1,1,0,3,23,0,0,-4
RayJ Dennis,IND,23,8,5,3,22.9,7,2,10,20.0,1,7,14.3,2,2,100.0,2,4,6,5,4,3,0,3,27,0,0,-3
Emoni Bates,CLE,21,7,7,0,27.4,6,2,14,14.3,2,11,18.2,0,0,0.0,0,0,0,4,0,1,0,2,15,0,0,-16
Jacob Toppin,ATL,24,16,12,4,48.6,6,3,10,30.0,0,2,0.0,0,0,0.0,2,9,11,4,2,2,0,3,29,0,0,-18
James Wiseman,IND,23,1,1,0,4.6,6,2,4,50.0,0,1,0.0,2,2,100.0,0,1,1,0,0,0,0,0,7,0,0,-4
Josh Christopher,MIA,23,8,4,4,27.6,6,2,7,28.6,0,1,0.0,2,4,50.0,0,3,3,4,4,0,1,1,15,0,0,-8
Marcus Bagley,PHI,23,2,0,2,36.6,6,2,6,33.3,0,4,0.0,2,2,100.0,0,6,6,1,0,1,0,3,18,0,0,-26
Taz Moore,POR,26,2,0,2,19.9,6,2,10,20.0,1,4,25.0,1,2,50.0,4,4,8,1,2,2,0,0,21,0,0,-7
Alondes Williams,DET,25,1,0,1,3.7,5,2,2,100.0,1,1,100.0,0,0,0.0,0,0,0,1,0,0,0,0,7,0,0,6
David Duke Jr.,SAS,25,4,0,4,17.6,5,2,7,28.6,0,1,0.0,1,2,50.0,0,3,3,3,1,0,0,1,12,0,0,11
Skal Labissiere,SAC,29,4,2,2,12.0,5,2,4,50.0,1,1,100.0,0,0,0.0,1,2,3,1,0,0,0,1,10,0,0,-1
Ulrich Chomche,TOR,19,7,3,4,32.2,5,2,5,40.0,0,0,0.0,1,2,50.0,4,4,8,2,2,0,1,5,19,0,0,-24
Jalen Bridges,PHX,23,5,0,5,25.1,4,1,4,25.0,1,4,25.0,1,2,50.0,0,3,3,0,4,0,0,0,4,0,0,0
Phillip Wheeler,PHI,22,1,0,1,15.5,4,2,9,22.2,0,5,0.0,0,0,0.0,1,3,4,2,0,0,0,0,12,0,0,10
Cui Yongxi,BKN,21,5,2,3,10.3,3,1,7,14.3,0,3,0.0,1,2,50.0,0,2,2,0,0,0,0,0,5,0,0,2
D.J. Carton,TOR,24,4,1,3,33.4,3,1,7,14.3,0,3,0.0,1,1,100.0,0,4,4,3,4,2,0,1,14,0,0,12
Quincy Olivari,LAL,23,2,1,1,10.3,3,1,5,20.0,1,5,20.0,0,0,0.0,0,0,0,1,1,0,0,0,4,0,0,-18
Tristen Newton,MIN,23,8,2,6,16.1,3,1,8,12.5,0,3,0.0,1,1,100.0,2,2,4,2,2,1,0,4,12,0,0,-5
Harrison Ingram,SAS,22,3,0,3,17.3,2,1,3,33.3,0,1,0.0,0,0,0.0,1,4,5,1,0,1,0,2,13,0,0,16
Jamaree Bouyea,MIL,25,1,1,0,4.6,2,1,1,100.0,0,0,0.0,0,0,0.0,0,0,0,1,1,1,0,0,6,0,0,-1
Justin Minaya,POR,26,11,4,7,26.6,2,1,4,25.0,0,2,0.0,0,0,0.0,2,2,4,2,0,1,0,3,13,0,0,-21
Kevin McCullar Jr.,NYK,24,1,1,0,3.1,2,1,2,50.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,2,2,0,0,-9
Malevy Leons,OKC,25,6,6,0,21.0,2,0,2,0.0,0,1,0.0,2,4,50.0,1,2,3,1,1,0,0,4,6,0,0,-18
Yuri Collins,GSW,24,2,2,0,16.3,2,1,3,33.3,0,0,0.0,0,0,0.0,2,1,3,4,0,2,0,5,18,0,0,-5
Daishen Nix,MIN,23,3,3,0,13.2,1,0,1,0.0,0,1,0.0,1,2,50.0,0,4,4,3,4,0,0,1,6,0,0,9
Bobi Klintman,DET,22,6,4,2,17.3,0,0,2,0.0,0,1,0.0,0,0,0.0,0,4,4,1,1,0,1,2,8,0,0,4
Daniss Jenkins,DET,23,5,3,2,9.9,0,0,4,0.0,0,4,0.0,0,0,0.0,0,0,0,0,1,0,0,2,-1,0,0,-14
Emanuel Miller,CHI,24,1,0,1,2.4,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,-3
Jahlil Okafor,IND,29,1,0,1,3.4,0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,1,0,0,0,0,3,0,0,5
Jahmir Young,CHI,24,1,0,1,2.4,0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,1,0,0,0,0,3,0,0,-3
Jalen McDaniels,WAS,27,4,2,2,7.3,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,1,0,1,0,0,5,0,0,-1
Jesse Edwards,MIN,25,2,2,0,4.7,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,1,0,0,0,2,2,0,0,-10
Mac McClung,ORL,26,2,1,1,10.2,0,0,2,0.0,0,1,0.0,0,0,0.0,0,1,1,3,0,0,0,2,6,0,0,-2
Miles Norris,BOS,24,1,1,0,4.0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,2,2,0,0,0,0,0,2,0,0,-4
P.J. Tucker,NYK,39,1,0,1,1.8,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,2
Riley Minix,SAS,24,1,0,1,6.8,0,0,1,0.0,0,1,0.0,0,0,0.0,0,2,2,0,0,0,0,0,2,0,0,0
Terry Taylor,SAC,25,3,1,2,6.3,0,0,1,0.0,0,0,0.0,0,0,0.0,1,0,1,2,0,0,0,0,4,0,0,9
Zyon Pullin,MEM,24,3,1,2,2.6,0,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,1
